Fecha;Departamento;Municipio;D°a;Hora;Barrio;Zona;Clase de sitio;Arma empleada;M¢vil Agresor;M¢vil Victima;Edad;Sexo;Estado civil;Pa°s de nacimiento;Clase de empleado;Profesi¢n;Escolaridad;C¢digo DANE;Cantidad
01/01/2016;AMAZONAS;LETICIA (CT);Viernes;9:10:00;UNION;URBANA;CASAS DE HABITACION;ARMA BLANCA / CORTOPUNZANTE;A PIE;A PIE;47;MASCULINO;UNION LIBRE;COLOMBIA;EMPLEADO PARTICULAR;-;PRIMARIA;91001000;1
01/01/2016;ANTIOQUIA;ANDES;Viernes;3:04:00;QUEBRADA ARRIBA;RURAL;FINCAS Y SIMILARES;ARMA DE FUEGO;A PIE;A PIE;42;MASCULINO;SOLTERO;COLOMBIA;INDEPENDIENTE;-;SECUNDARIA;05034000;1
01/01/2016;ANTIOQUIA;MEDELL÷N (CT);Viernes;7:30:00;MANRIQUE 2  C-3;URBANA;VIAS PUBLICAS;ARMA BLANCA / CORTOPUNZANTE;A PIE;A PIE;51;MASCULINO;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;PRIMARIA;05001000;1
01/01/2016;ANTIOQUIA;MEDELL÷N (CT);Viernes;19:40:00;ARANJUEZ  C-4;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;22;MASCULINO;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;05001000;1
01/01/2016;ANTIOQUIA;MEDELL÷N (CT);Viernes;11:20:00;CERRO EL VOLADOR C-7;URBANA;VIAS PUBLICAS;CUERDA/SOGA/CADENA;A PIE;A PIE;62;MASCULINO;SOLTERO;COLOMBIA;INDEPENDIENTE;-;SECUNDARIA;05001000;1
01/01/2016;ANTIOQUIA;MEDELL÷N (CT);Viernes;22:08:00;JESUS NAZARENO C-10;URBANA;BA•OS;CUERDA/SOGA/CADENA;A PIE;A PIE;25;FEMENINO;UNION LIBRE;COLOMBIA;DESEMPLEADO;-;SECUNDARIA;05001000;1
01/01/2016;ANTIOQUIA;SABANALARGA;Viernes;6:30:00;PARQUE PRINCIPAL;URBANA;BARES, CANTINAS Y SIMILARES;ARMA BLANCA / CORTOPUNZANTE;A PIE;A PIE;56;MASCULINO;SOLTERO;COLOMBIA;INDEPENDIENTE;-;PRIMARIA;05628000;1
01/01/2016;ANTIOQUIA;SAN PEDRO DE URABµ;Viernes;15:00:00;VDA. BRASIL;RURAL;FINCAS Y SIMILARES;ARMA DE FUEGO;A PIE;A PIE;36;MASCULINO;UNION LIBRE;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;05665000;1
01/01/2016;ANTIOQUIA;YOLOMB‡;Viernes;19:10:00;LA FLORESTA;RURAL;FINCAS Y SIMILARES;ARMA BLANCA / CORTOPUNZANTE;A PIE;A PIE;20;MASCULINO;SOLTERO;COLOMBIA;INDEPENDIENTE;-;SECUNDARIA;05890000;1
01/01/2016;ATLµNTICO;BARRANQUILLA (CT);Viernes;5:50:00;MODERNO;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;52;FEMENINO;CASADO;COLOMBIA;AMA DE CASA;-;SECUNDARIA;08001000;1
01/01/2016;BOL÷VAR;ARJONA;Viernes;4:00:00;BARRIO LAS PARCELAS;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;29;MASCULINO;UNION LIBRE;COLOMBIA;INDEPENDIENTE;-;SECUNDARIA;13052000;1
01/01/2016;BOL÷VAR;CARTAGENA (CT);Viernes;20:30:00;LA QUINTA;URBANA;VIAS PUBLICAS;ARMA BLANCA / CORTOPUNZANTE;A PIE;A PIE;26;MASCULINO;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;SECUNDARIA;13001000;1
01/01/2016;BOL÷VAR;SAN PABLO;Viernes;23:30:00;LA SIERRA;URBANA;VIAS PUBLICAS;ARMA DE FUEGO;A PIE;A PIE;21;MASCULINO;SOLTERO;COLOMBIA;EMPLEADO PARTICULAR;-;PRIMARIA;13670000;1
